ID,JN,ADR,IN,CPU,OUT,DL,VM,TG,TA,TS,TC,TD,RT,DF,CO($),ST
29,job-29,232,205,27,0,320,22,2901,2901,2952,3184,283,232,37,0.10311,JOB_ST_FAILED (3005)
30,job-30,402,205,60,137,320,25,3001,3001,3036,3438,437,402,-117,0.17867,JOB_ST_COMPLETED (3004)
31,job-31,402,205,60,137,380,26,3101,3101,3141,3543,442,402,-62,0.17867,JOB_ST_COMPLETED (3004)
32,job-32,402,205,60,137,380,27,3201,3201,3242,3644,443,402,-63,0.17867,JOB_ST_COMPLETED (3004)
33,job-33,402,205,60,137,380,28,3301,3301,3355,3757,456,402,-76,0.17867,JOB_ST_COMPLETED (3004)
34,job-34,402,205,60,137,220,29,3401,3401,3435,3837,436,402,-216,0.17867,JOB_ST_COMPLETED (3004)
35,job-35,402,205,60,137,220,30,3501,3501,3561,3963,462,402,-242,0.17867,JOB_ST_COMPLETED (3004)
36,job-36,334,137,60,137,320,31,3601,3601,3649,3983,382,334,-62,0.14844,JOB_ST_COMPLETED (3004)
37,job-37,334,137,60,137,520,32,3701,3701,3760,4094,393,334,127,0.14844,JOB_ST_COMPLETED (3004)
38,job-38,510,205,100,205,580,33,3801,3801,3846,4356,555,510,25,0.11333,JOB_ST_COMPLETED (3004)
39,job-39,510,205,100,205,980,34,3901,3901,3956,4466,565,510,415,0.11333,JOB_ST_COMPLETED (3004)
40,job-40,510,205,100,205,980,35,4001,4001,4046,4556,555,510,425,0.11333,JOB_ST_COMPLETED (3004)
41,job-41,334,137,60,137,300,36,4101,4101,4161,4495,394,334,-94,0.14844,JOB_ST_COMPLETED (3004)
42,job-42,402,205,60,137,600,37,4201,4201,4250,4652,451,402,149,0.17867,JOB_ST_COMPLETED (3004)
43,job-43,613,308,100,205,900,33,4301,4301,4356,4969,668,613,232,0.13622,JOB_ST_COMPLETED (3004)
44,job-44,402,205,60,137,550,36,4401,4401,4495,4897,496,402,54,0.17867,JOB_ST_COMPLETED (3004)
45,job-45,214,205,9,0,200,38,4501,4501,4557,4771,270,214,-70,0.09511,JOB_ST_FAILED (3005)
46,job-46,402,205,60,137,200,39,4601,4601,4658,5060,459,402,-259,0.17867,JOB_ST_COMPLETED (3004)
47,job-47,402,205,60,137,220,40,4701,4701,4754,5156,455,402,-235,0.17867,JOB_ST_COMPLETED (3004)
48,job-48,402,205,60,137,220,41,4801,4801,4832,5234,433,402,-213,0.17867,JOB_ST_COMPLETED (3004)
49,job-49,402,205,60,137,320,42,4901,4901,4960,5362,461,402,-141,0.17867,JOB_ST_COMPLETED (3004)
50,job-50,402,205,60,137,320,43,5001,5001,5038,5440,439,402,-119,0.17867,JOB_ST_COMPLETED (3004)
51,job-51,402,205,60,137,380,44,5101,5101,5134,5536,435,402,-55,0.17867,JOB_ST_COMPLETED (3004)
52,job-52,402,205,60,137,380,45,5201,5201,5260,5662,461,402,-81,0.17867,JOB_ST_COMPLETED (3004)
53,job-53,402,205,60,137,380,46,5301,5301,5345,5747,446,402,-66,0.17867,JOB_ST_COMPLETED (3004)
54,job-54,402,205,60,137,220,47,5401,5401,5435,5837,436,402,-216,0.17867,JOB_ST_COMPLETED (3004)
55,job-55,402,205,60,137,220,48,5501,5501,5560,5962,461,402,-241,0.17867,JOB_ST_COMPLETED (3004)
56,job-56,334,137,60,137,320,49,5601,5601,5657,5991,390,334,-70,0.14844,JOB_ST_COMPLETED (3004)
57,job-57,334,137,60,137,520,50,5701,5701,5753,6087,386,334,134,0.14844,JOB_ST_COMPLETED (3004)
58,job-58,510,205,100,205,580,51,5801,5801,5857,6367,566,510,14,0.11333,JOB_ST_COMPLETED (3004)
59,job-59,510,205,100,205,980,52,5901,5901,5951,6461,560,510,420,0.11333,JOB_ST_COMPLETED (3004)
60,job-60,510,205,100,205,980,53,6001,6001,6039,6549,548,510,432,0.11333,JOB_ST_COMPLETED (3004)
61,job-61,334,137,60,137,300,54,6101,6101,6160,6494,393,334,-93,0.14844,JOB_ST_COMPLETED (3004)
62,job-62,402,205,60,137,600,55,6201,6201,6249,6651,450,402,150,0.17867,JOB_ST_COMPLETED (3004)
63,job-63,613,308,100,205,900,51,6301,6301,6367,6980,679,613,221,0.13622,JOB_ST_COMPLETED (3004)
64,job-64,402,205,60,137,550,54,6401,6401,6494,6896,495,402,55,0.17867,JOB_ST_COMPLETED (3004)
65,job-65,402,205,60,137,200,56,6501,6501,6531,6933,432,402,-232,0.17867,JOB_ST_COMPLETED (3004)
66,job-66,402,205,60,137,200,57,6601,6601,6640,7042,441,402,-241,0.17867,JOB_ST_COMPLETED (3004)
67,job-67,402,205,60,137,220,58,6701,6701,6731,7133,432,402,-212,0.17867,JOB_ST_COMPLETED (3004)
68,job-68,402,205,60,137,220,54,6801,6801,6896,7298,497,402,-277,0.17867,JOB_ST_COMPLETED (3004)
69,job-69,402,205,60,137,320,56,6901,6901,6933,7335,434,402,-114,0.17867,JOB_ST_COMPLETED (3004)
70,job-70,402,205,60,137,320,59,7001,7001,7040,7442,441,402,-121,0.17867,JOB_ST_COMPLETED (3004)
71,job-71,402,205,60,137,380,60,7101,7101,7140,7542,441,402,-61,0.17867,JOB_ST_COMPLETED (3004)
72,job-72,402,205,60,137,380,61,7201,7201,7246,7648,447,402,-67,0.17867,JOB_ST_COMPLETED (3004)
73,job-73,241,205,36,0,380,62,7301,7301,7335,7576,275,241,105,0.10711,JOB_ST_FAILED (3005)
74,job-74,402,205,60,137,220,63,7401,7401,7450,7852,451,402,-231,0.17867,JOB_ST_COMPLETED (3004)
75,job-75,402,205,60,137,220,64,7501,7501,7534,7936,435,402,-215,0.17867,JOB_ST_COMPLETED (3004)
76,job-76,334,137,60,137,320,65,7601,7601,7631,7965,364,334,-44,0.14844,JOB_ST_COMPLETED (3004)
77,job-77,334,137,60,137,520,66,7701,7701,7732,8066,365,334,155,0.14844,JOB_ST_COMPLETED (3004)
78,job-78,510,205,100,205,580,67,7801,7801,7835,8345,544,510,36,0.11333,JOB_ST_COMPLETED (3004)
79,job-79,510,205,100,205,980,68,7901,7901,7943,8453,552,510,428,0.11333,JOB_ST_COMPLETED (3004)
80,job-80,510,205,100,205,980,69,8001,8001,8057,8567,566,510,414,0.11333,JOB_ST_COMPLETED (3004)
81,job-81,334,137,60,137,300,70,8101,8101,8148,8482,381,334,-81,0.14844,JOB_ST_COMPLETED (3004)
82,job-82,402,205,60,137,600,71,8201,8201,8244,8646,445,402,155,0.17867,JOB_ST_COMPLETED (3004)
83,job-83,613,308,100,205,900,67,8301,8301,8345,8958,657,613,243,0.13622,JOB_ST_COMPLETED (3004)
84,job-84,402,205,60,137,550,70,8401,8401,8482,8884,483,402,67,0.17867,JOB_ST_COMPLETED (3004)
85,job-85,402,205,60,137,200,72,8501,8501,8542,8944,443,402,-243,0.17867,JOB_ST_COMPLETED (3004)
86,job-86,402,205,60,137,200,73,8601,8601,8660,9062,461,402,-261,0.17867,JOB_ST_COMPLETED (3004)
87,job-87,402,205,60,137,220,74,8701,8701,8755,9157,456,402,-236,0.17867,JOB_ST_COMPLETED (3004)
88,job-88,402,205,60,137,220,70,8801,8801,8884,9286,485,402,-265,0.17867,JOB_ST_COMPLETED (3004)
89,job-89,402,205,60,137,320,72,8901,8901,8944,9346,445,402,-125,0.17867,JOB_ST_COMPLETED (3004)
90,job-90,402,205,60,137,320,75,9001,9001,9049,9451,450,402,-130,0.17867,JOB_ST_COMPLETED (3004)
91,job-91,402,205,60,137,380,76,9101,9101,9151,9553,452,402,-72,0.17867,JOB_ST_COMPLETED (3004)
92,job-92,402,205,60,137,380,77,9201,9201,9244,9646,445,402,-65,0.17867,JOB_ST_COMPLETED (3004)
93,job-93,402,205,60,137,380,78,9301,9301,9358,9760,459,402,-79,0.17867,JOB_ST_COMPLETED (3004)
94,job-94,402,205,60,137,220,79,9401,9401,9443,9845,444,402,-224,0.17867,JOB_ST_COMPLETED (3004)
95,job-95,402,205,60,137,220,80,9501,9501,9558,9960,459,402,-239,0.17867,JOB_ST_COMPLETED (3004)
96,job-96,334,137,60,137,320,81,9601,9601,9639,9973,372,334,-52,0.14844,JOB_ST_COMPLETED (3004)
97,job-97,334,137,60,137,520,82,9701,9701,9746,10080,379,334,141,0.14844,JOB_ST_COMPLETED (3004)
98,job-98,212,205,7,0,580,83,9801,9801,9831,10043,242,212,338,0.04711,JOB_ST_FAILED (3005)
99,job-99,510,205,100,205,980,84,9901,9901,9934,10444,543,510,437,0.11333,JOB_ST_COMPLETED (3004)
100,job-100,510,205,100,205,980,85,10001,10001,10051,10561,560,510,420,0.11333,JOB_ST_COMPLETED (3004)
