CLOCK,# SC,# SFO,ST_SIZE (KB),ST_COST ($),NET-IN (KB),NET-OUT (KB),NET-CLOUD (KB),NET-IN_COST ($),NET-OUT_COST ($),NET-CLOUD_COST ($),NET_COST ($)
2520,1,20,9437184,1072.35,7340032,0,12058624,0.14,0.0,0.115,0.255
2580,1,20,9437184,1126.35,7340032,0,12058624,0.14,0.0,0.115,0.255
2640,1,21,9961472,1182.25,7864320,0,12582912,0.15,0.0,0.12,0.27
2700,1,21,9961472,1239.25,7864320,0,12582912,0.15,0.0,0.12,0.27
2760,1,22,9961472,1296.25,7864320,0,12582912,0.15,0.0,0.12,0.27
2820,1,23,11010048,1355.7,8388608,0,14155776,0.16,0.0,0.135,0.295
2880,1,24,11010048,1418.7,8388608,0,14155776,0.16,0.0,0.135,0.295
2940,1,24,11534336,1484.3,8388608,0,15204352,0.16,0.0,0.145,0.305
3000,1,24,12058624,1552.35,8912896,0,15728640,0.17,0.0,0.15,0.32
3060,1,25,12582912,1624.05,9437184,0,16252928,0.18,0.0,0.155,0.335
3120,1,27,13107200,1698.05,9961472,0,16777216,0.19,0.0,0.16,0.35
3180,1,27,14155776,1774.1,11010048,0,17825792,0.21,0.0,0.17,0.38
3240,1,28,14155776,1855.1,11010048,0,17825792,0.21,0.0,0.17,0.38
3300,1,29,14155776,1936.1,11010048,0,17825792,0.21,0.0,0.17,0.38
3360,1,30,15204352,2021.7,12058624,0,18874368,0.23,0.0,0.18,0.41
3420,1,31,15728640,2110.4,12582912,0,19398656,0.24,0.0,0.185,0.425
3480,1,31,15728640,2200.4,12582912,0,19398656,0.24,0.0,0.185,0.425
3540,1,31,16252928,2293.0,13107200,0,19922944,0.25,0.0,0.19,0.44
3600,1,32,16252928,2386.0,13107200,0,19922944,0.25,0.0,0.19,0.44
3660,1,33,16252928,2479.0,13631488,0,19922944,0.26,0.0,0.19,0.45
3720,1,33,17301504,2576.65,14680064,0,20971520,0.28,0.0,0.2,0.48
3780,1,34,17301504,2675.65,14680064,0,20971520,0.28,0.0,0.2,0.48
3840,1,34,17825792,2775.1,14680064,0,22020096,0.28,0.0,0.21,0.49
3900,1,34,17825792,2877.1,14680064,0,22020096,0.28,0.0,0.21,0.49
3960,1,35,17825792,2979.1,14680064,0,22020096,0.28,0.0,0.21,0.49
4020,1,35,17825792,3081.1,14680064,0,22020096,0.28,0.0,0.21,0.49
4080,1,36,18350080,3185.1,14680064,0,23068672,0.28,0.0,0.22,0.5
4140,1,36,18350080,3290.1,14680064,0,23068672,0.28,0.0,0.22,0.5
4200,1,36,18874368,3397.85,14680064,0,24117248,0.28,0.0,0.23,0.51
4260,1,36,18874368,3505.85,14680064,0,24117248,0.28,0.0,0.23,0.51
4320,1,36,18874368,3613.85,14680064,0,24641536,0.28,0.0,0.235,0.515
4380,1,36,18874368,3721.85,14680064,0,24641536,0.28,0.0,0.235,0.515
4440,1,36,18874368,3829.85,14680064,0,24641536,0.28,0.0,0.235,0.515
4500,1,36,18874368,3937.85,14680064,0,24641536,0.28,0.0,0.235,0.515
4560,1,38,18874368,4045.85,14680064,0,24641536,0.28,0.0,0.235,0.515
4620,1,38,19398656,4154.45,15204352,0,25165824,0.29,0.0,0.24,0.53
4680,1,39,19398656,4265.45,15204352,0,25165824,0.29,0.0,0.24,0.53
4740,1,40,19398656,4376.45,15204352,0,25165824,0.29,0.0,0.24,0.53
4800,1,40,19922944,4488.0,15204352,0,26214400,0.29,0.0,0.25,0.54
4860,1,41,20447232,4604.15,15728640,0,26738688,0.3,0.0,0.255,0.555
4920,1,42,20971520,4721.7,15728640,0,27787264,0.3,0.0,0.265,0.565
4980,1,42,21495808,4842.45,16252928,0,28311552,0.31,0.0,0.27,0.58
5040,1,43,22020096,4966.05,16777216,0,28835840,0.32,0.0,0.275,0.595
5100,1,44,22544384,5092.8,17301504,0,29360128,0.33,0.0,0.28,0.61
5160,1,44,22544384,5221.8,17301504,0,29360128,0.33,0.0,0.28,0.61
5220,1,45,23068672,5353.1,17825792,0,29884416,0.34,0.0,0.285,0.625
5280,1,47,23068672,5485.1,17825792,0,29884416,0.34,0.0,0.285,0.625
5340,1,48,24641536,5621.6,19398656,0,31457280,0.37,0.0,0.3,0.67
5400,1,48,25165824,5763.7,19922944,0,31981568,0.38,0.0,0.305,0.685
5460,1,49,25165824,5907.7,19922944,0,31981568,0.38,0.0,0.305,0.685
5520,1,49,25690112,6054.0,20447232,0,32505856,0.39,0.0,0.31,0.7
5580,1,50,25690112,6201.0,20447232,0,32505856,0.39,0.0,0.31,0.7
5640,1,51,25690112,6348.0,20447232,0,32505856,0.39,0.0,0.31,0.7
5700,1,51,26738688,6497.6,21495808,0,33554432,0.41,0.0,0.32,0.73
5760,1,52,26738688,6650.6,21495808,0,33554432,0.41,0.0,0.32,0.73
5820,1,53,27262976,6805.95,22020096,0,34078720,0.42,0.0,0.325,0.745
5880,1,53,27787264,6964.1,22020096,0,35127296,0.42,0.0,0.335,0.755
5940,1,53,27787264,7123.1,22020096,0,35127296,0.42,0.0,0.335,0.755
6000,1,54,27787264,7282.1,22020096,0,35127296,0.42,0.0,0.335,0.755
6060,1,55,28311552,7441.8,22020096,0,36175872,0.42,0.0,0.345,0.765
6120,1,55,28311552,7603.8,22020096,0,36175872,0.42,0.0,0.345,0.765
6180,1,55,28835840,7767.75,22020096,0,37224448,0.42,0.0,0.355,0.775
6240,1,55,28835840,7932.75,22020096,0,37224448,0.42,0.0,0.355,0.775
6300,1,56,28835840,8097.75,22020096,0,37224448,0.42,0.0,0.355,0.775
6360,1,56,29360128,8263.7,22020096,0,38273024,0.42,0.0,0.365,0.785
6420,1,56,29360128,8431.7,22020096,0,38273024,0.42,0.0,0.365,0.785
6480,1,56,29360128,8599.7,22020096,0,38273024,0.42,0.0,0.365,0.785
6540,1,58,29360128,8767.7,22020096,0,38273024,0.42,0.0,0.365,0.785
6600,1,58,29360128,8935.7,22020096,0,38273024,0.42,0.0,0.365,0.785
6660,1,59,29884416,9105.9,22544384,0,38797312,0.43,0.0,0.37,0.8
6720,1,60,29884416,9276.9,22544384,0,38797312,0.43,0.0,0.37,0.8
6780,1,60,29884416,9447.9,22544384,0,38797312,0.43,0.0,0.37,0.8
6840,1,60,30932992,9622.0,23592960,0,40370176,0.45,0.0,0.385,0.835
6900,1,61,31457280,9799.5,23592960,0,41418752,0.45,0.0,0.395,0.845
6960,1,61,31457280,9979.5,23592960,0,41418752,0.45,0.0,0.395,0.845
7020,1,62,31981568,10161.85,24117248,0,41943040,0.46,0.0,0.4,0.86
7080,1,63,32505856,10345.1,24641536,0,42467328,0.47,0.0,0.405,0.875
7140,1,64,32505856,10531.1,24641536,0,42467328,0.47,0.0,0.405,0.875
7200,1,64,33554432,10720.05,25690112,0,43515904,0.49,0.0,0.415,0.905
7260,1,66,33554432,10912.05,25690112,0,43515904,0.49,0.0,0.415,0.905
7320,1,67,34078720,11104.7,26214400,0,44040192,0.5,0.0,0.42,0.92
7380,1,67,35127296,11302.9,27262976,0,45088768,0.52,0.0,0.43,0.95
7440,1,68,35127296,11503.9,27262976,0,45088768,0.52,0.0,0.43,0.95
7500,1,68,35651584,11705.25,27787264,0,45613056,0.53,0.0,0.435,0.965
7560,1,69,35651584,11909.25,27787264,0,45613056,0.53,0.0,0.435,0.965
7620,1,70,36175872,12114.95,28311552,0,46137344,0.54,0.0,0.44,0.98
7680,1,70,36175872,12321.95,28311552,0,46137344,0.54,0.0,0.44,0.98
7740,1,71,36700160,12531.55,28835840,0,46661632,0.55,0.0,0.445,0.995
7800,1,72,37224448,12742.25,29360128,0,47185920,0.56,0.0,0.45,1.01
7860,1,72,37748736,12956.5,29360128,0,48234496,0.56,0.0,0.46,1.02
7920,1,72,37748736,13172.5,29360128,0,48234496,0.56,0.0,0.46,1.02
7980,1,73,37748736,13388.5,29360128,0,48234496,0.56,0.0,0.46,1.02
8040,1,74,37748736,13604.5,29360128,0,48234496,0.56,0.0,0.46,1.02
8100,1,74,38273024,13822.2,29360128,0,49283072,0.56,0.0,0.47,1.03
8160,1,74,38797312,14042.1,29360128,0,50331648,0.56,0.0,0.48,1.04
8220,1,74,38797312,14264.1,29360128,0,50331648,0.56,0.0,0.48,1.04
8280,1,75,38797312,14486.1,29360128,0,50331648,0.56,0.0,0.48,1.04
8340,1,75,39321600,14708.4,29360128,0,51380224,0.56,0.0,0.49,1.05
8400,1,75,39321600,14933.4,29360128,0,51380224,0.56,0.0,0.49,1.05
8460,1,75,39321600,15158.4,29360128,0,51380224,0.56,0.0,0.49,1.05
8520,1,76,39321600,15383.4,29884416,0,51380224,0.57,0.0,0.49,1.06
8580,1,76,39321600,15608.4,29884416,0,51380224,0.57,0.0,0.49,1.06
8640,1,77,39321600,15833.4,29884416,0,51380224,0.57,0.0,0.49,1.06
8700,1,78,39321600,16058.4,29884416,0,51380224,0.57,0.0,0.49,1.06
8760,1,79,39321600,16283.4,29884416,0,51380224,0.57,0.0,0.49,1.06
8820,1,79,40894464,16513.0,30932992,0,53477376,0.59,0.0,0.51,1.1
8880,1,80,40894464,16747.0,30932992,0,53477376,0.59,0.0,0.51,1.1
8940,1,81,41418752,16983.65,30932992,0,54525952,0.59,0.0,0.52,1.11
9000,1,81,41418752,17220.65,30932992,0,54525952,0.59,0.0,0.52,1.11
9060,1,82,42467328,17462.45,31981568,0,55574528,0.61,0.0,0.53,1.14
9120,1,84,42991616,17707.35,32505856,0,56098816,0.62,0.0,0.535,1.155
9180,1,85,44040192,17954.4,33554432,0,57147392,0.64,0.0,0.545,1.185
9240,1,85,44564480,18206.75,34078720,0,57671680,0.65,0.0,0.55,1.2
9300,1,85,44564480,18461.75,34078720,0,57671680,0.65,0.0,0.55,1.2
9360,1,86,44564480,18716.75,34078720,0,57671680,0.65,0.0,0.55,1.2
9420,1,87,45088768,18973.75,34603008,0,58195968,0.66,0.0,0.555,1.215
9480,1,87,45088768,19231.75,34603008,0,58195968,0.66,0.0,0.555,1.215
9540,1,88,45613056,19492.3,35127296,0,58720256,0.67,0.0,0.56,1.23
9600,1,88,46137344,19754.2,35651584,0,59244544,0.68,0.0,0.565,1.245
9660,1,89,46137344,20018.2,35651584,0,59244544,0.68,0.0,0.565,1.245
9720,1,89,46661632,20284.6,36175872,0,59768832,0.69,0.0,0.57,1.26
9780,1,90,46661632,20551.6,36175872,0,59768832,0.69,0.0,0.57,1.26
9840,1,91,47185920,20821.05,36700160,0,60293120,0.7,0.0,0.575,1.275
9900,1,91,47710208,21093.15,36700160,0,61341696,0.7,0.0,0.585,1.285
9960,1,92,47710208,21366.15,36700160,0,61341696,0.7,0.0,0.585,1.285
10020,1,92,47710208,21639.15,36700160,0,61341696,0.7,0.0,0.585,1.285
10080,1,93,48234496,21913.6,36700160,0,62390272,0.7,0.0,0.595,1.295
10140,1,93,48234496,22189.6,36700160,0,62390272,0.7,0.0,0.595,1.295
10200,1,93,48758784,22467.35,36700160,0,63438848,0.7,0.0,0.605,1.305
10260,1,93,48758784,22746.35,36700160,0,63438848,0.7,0.0,0.605,1.305
10320,1,93,48758784,23025.35,36700160,0,63438848,0.7,0.0,0.605,1.305
10380,1,93,48758784,23304.35,36700160,0,63438848,0.7,0.0,0.605,1.305
10440,1,93,48758784,23583.35,36700160,0,63438848,0.7,0.0,0.605,1.305
10500,1,93,48758784,23862.35,36700160,0,63438848,0.7,0.0,0.605,1.305
10560,1,94,48758784,24141.35,36700160,0,63438848,0.7,0.0,0.605,1.305
10620,1,95,48758784,24420.35,36700160,0,63438848,0.7,0.0,0.605,1.305
10680,1,95,48758784,24699.35,36700160,0,63438848,0.7,0.0,0.605,1.305
10740,1,95,48758784,24978.35,36700160,0,63438848,0.7,0.0,0.605,1.305
10800,1,95,49283072,25257.4,36700160,0,64487424,0.7,0.0,0.615,1.315
10860,1,95,49283072,25539.4,36700160,0,64487424,0.7,0.0,0.615,1.315
