CL	ID	JN	ADR	IN	CPU	OUT	DL	VM	TG	TA	TS	TC	TD	RT	DF	ST
7936	75	job-75	402	205	60	137	220	64	7501	7501	7534	7936	435	402	-215	JOB_ST_COMPLETED (3004)
7965	76	job-76	334	137	60	137	320	65	7601	7601	7631	7965	364	334	-44	JOB_ST_COMPLETED (3004)
8066	77	job-77	334	137	60	137	520	66	7701	7701	7732	8066	365	334	155	JOB_ST_COMPLETED (3004)
8345	78	job-78	510	205	100	205	580	67	7801	7801	7835	8345	544	510	36	JOB_ST_COMPLETED (3004)
8453	79	job-79	510	205	100	205	980	68	7901	7901	7943	8453	552	510	428	JOB_ST_COMPLETED (3004)
8482	81	job-81	334	137	60	137	300	70	8101	8101	8148	8482	381	334	-81	JOB_ST_COMPLETED (3004)
8567	80	job-80	510	205	100	205	980	69	8001	8001	8057	8567	566	510	414	JOB_ST_COMPLETED (3004)
8646	82	job-82	402	205	60	137	600	71	8201	8201	8244	8646	445	402	155	JOB_ST_COMPLETED (3004)
8884	84	job-84	402	205	60	137	550	70	8401	8401	8482	8884	483	402	67	JOB_ST_COMPLETED (3004)
8944	85	job-85	402	205	60	137	200	72	8501	8501	8542	8944	443	402	-243	JOB_ST_COMPLETED (3004)
8958	83	job-83	613	308	100	205	900	67	8301	8301	8345	8958	657	613	243	JOB_ST_COMPLETED (3004)
9062	86	job-86	402	205	60	137	200	73	8601	8601	8660	9062	461	402	-261	JOB_ST_COMPLETED (3004)
9157	87	job-87	402	205	60	137	220	74	8701	8701	8755	9157	456	402	-236	JOB_ST_COMPLETED (3004)
9286	88	job-88	402	205	60	137	220	70	8801	8801	8884	9286	485	402	-265	JOB_ST_COMPLETED (3004)
9346	89	job-89	402	205	60	137	320	72	8901	8901	8944	9346	445	402	-125	JOB_ST_COMPLETED (3004)
9451	90	job-90	402	205	60	137	320	75	9001	9001	9049	9451	450	402	-130	JOB_ST_COMPLETED (3004)
9553	91	job-91	402	205	60	137	380	76	9101	9101	9151	9553	452	402	-72	JOB_ST_COMPLETED (3004)
9646	92	job-92	402	205	60	137	380	77	9201	9201	9244	9646	445	402	-65	JOB_ST_COMPLETED (3004)
9760	93	job-93	402	205	60	137	380	78	9301	9301	9358	9760	459	402	-79	JOB_ST_COMPLETED (3004)
9845	94	job-94	402	205	60	137	220	79	9401	9401	9443	9845	444	402	-224	JOB_ST_COMPLETED (3004)
9960	95	job-95	402	205	60	137	220	80	9501	9501	9558	9960	459	402	-239	JOB_ST_COMPLETED (3004)
9973	96	job-96	334	137	60	137	320	81	9601	9601	9639	9973	372	334	-52	JOB_ST_COMPLETED (3004)
10043	98	job-98	212	205	7	0	580	83	9801	9801	9831	10043	242	212	338	JOB_ST_FAILED (3005)
10080	97	job-97	334	137	60	137	520	82	9701	9701	9746	10080	379	334	141	JOB_ST_COMPLETED (3004)
10444	99	job-99	510	205	100	205	980	84	9901	9901	9934	10444	543	510	437	JOB_ST_COMPLETED (3004)
10561	100	job-100	510	205	100	205	980	85	10001	10001	10051	10561	560	510	420	JOB_ST_COMPLETED (3004)
